Country,Price,Data,Validity
Algeria,US $7.00,1 GB,7 Days
Algeria,US $13.00,2 GB,15 Days
Algeria,US $17.50,3 GB,30 Days
Algeria,US $27.00,5 GB,30 Days
Algeria,US $49.00,10 GB,30 Days
